Time,AveragePower,rn,ss,icsr,dsnw,ct_Ci,ct_Cc,ct_Cs,ct_Ac,ct_As,ct_Ns,ct_Sc,ct_St,ct_Cu,ct_Cb,ws,hm,dc10Tca,dc10LmcsCa,vs,ts,day_month_x,day_month_y,day_year_x,day_year_y,month_x,month_y,day__0,day__1,day__2,day__3,day__4,day__5,day__6,weekdays,weekend,wd_x,wd_y,power_yesterday,power_ema4,power_ema7,power_ema14
2022-03-02,4484.16222625,0.0,10.7,19.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.8083333333333336,54.41666666666666,0.0833333333333333,0.0833333333333333,20.58333333333333,3.841666666666667,0.3943558551133185,0.9189578116202308,0.0344216116227457,0.9994074007397048,0.7071067811865475,0.7071067811865476,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.7733854283236331,-0.313895499366468,3118.787857638888,3118.787857638888,3118.787857638888,3118.787857638888
2022-03-03,4004.8045647222216,0.0,10.6,19.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.145833333333333,55.41666666666666,0.9583333333333334,0.9583333333333334,410.875,5.516666666666667,0.5712682150947923,0.8207634412072763,0.0516196672232537,0.998666816288476,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.8342773693026451,-0.2822292133914314,4484.16222625,3877.32917353395,3846.987520898148,3825.01597933429
2022-03-04,2484.7639830555554,0.0,3.7,10.65,0.0,3.0,0.0,0.0,1.0,3.0,0.0,7.0,0.0,0.0,0.0,3.45,58.708333333333336,4.375,3.2916666666666665,340.4166666666667,4.4125000000000005,0.7247927872291199,0.6889669190756867,0.0688024268023198,0.9976303053065856,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0813228972211587,-0.0718743809434843,4004.8045647222216,3929.573186316028,3906.752555245726,3889.124428957562
2022-03-05,0.0,0.0,10.5,20.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.258333333333334,40.208333333333336,0.0416666666666666,0.0416666666666666,171.70833333333334,4.666666666666667,0.8486442574947509,0.5289640103269624,0.0859647987374464,0.996298174934608,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.9378688853985512,-0.0056982980593998,2484.7639830555554,3440.1391743714235,3477.219724000081,3500.9094641840943
2022-03-06,0.0,0.0,10.8,21.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7875,38.625,0.7083333333333334,0.0,0.0,4.25,0.9377521321470804,0.3473052528448203,0.1031016974474348,0.9946708199115212,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-0.9377587989400408,0.0530030374741634,0.0,2416.775545631709,2584.87638777401,2700.94222583121
2022-03-07,0.0,0.0,7.0,14.99,0.0,14.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.029166666666667,45.75,6.208333333333333,2.0416666666666665,0.0,3.7416666666666663,0.9884683243281116,0.1514277775045767,0.1202080448993527,0.9927487224577402,0.7071067811865475,0.7071067811865476,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4165834271680352,0.0778356437435635,0.0,1761.6950026445388,1998.6884264287812,2169.7376867126936
2022-03-08,0.0,0.0,8.2,16.44,0.0,7.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.825,53.333333333333336,5.0,3.6666666666666665,99.125,7.0375000000000005,0.9987165071710528,-0.0506491688387126,0.1372787721132647,0.9905324521322229,0.7071067811865475,0.7071067811865476,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4271258520484783,0.0788306422314729,0.0,1315.8569952212558,1587.30300212843,1792.1024293606788
2022-03-09,0.0,0.0,8.7,18.85,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.9666666666666668,69.125,1.7083333333333333,1.25,834.5416666666666,8.591666666666667,0.9680771188662044,-0.2506525322587206,0.1543088206642811,0.9880226656636976,0.7071067811865475,0.7071067811865476,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.7084113602206111,-0.0435464638427626,0.0,999.6318145733082,1285.0245586153912,1510.4383146651114
2022-03-10,0.0,0.0,9.3,16.75,0.0,12.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1041666666666665,52.16666666666666,7.083333333333333,0.0,516.625,8.995833333333334,0.8978045395707416,-0.4403941515576344,0.1712931441814776,0.9852201067560604,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.2474871925327461,0.1260858512490418,0.0,768.7119062078692,1055.3400491829204,1292.7451335062528
2022-03-11,0.0,0.0,5.9,14.49,0.0,8.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,1.7916666666666667,57.75,5.166666666666667,2.583333333333333,234.875,10.841666666666669,0.7907757369376985,-0.6121059825476629,0.1882267098432442,0.9821256058680006,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.0426804547607286,0.3108409784604142,0.0,596.4758155523913,876.3291467335912,1119.821670896636
