Time,AveragePower,rn,ss,icsr,dsnw,ct_Ci,ct_Cc,ct_Cs,ct_Ac,ct_As,ct_Ns,ct_Sc,ct_St,ct_Cu,ct_Cb,ws,hm,dc10Tca,dc10LmcsCa,vs,ts,day_month_x,day_month_y,day_year_x,day_year_y,month_x,month_y,day__0,day__1,day__2,day__3,day__4,day__5,day__6,weekdays,weekend,wd_x,wd_y,power_yesterday,power_ema4,power_ema7,power_ema14
2022-03-02,4484.16222625,0.0,10.7,19.53,0.0,0,0,0,0,0,0,2,0,0,0,2.8083333333333336,54.416666666666664,0.08333333333333333,0.08333333333333333,20.583333333333332,3.841666666666667,0.39435585511331855,0.9189578116202307,0.03442161162274574,0.9994074007397048,0.7071067811865475,0.7071067811865476,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.7733854283236331,-0.31389549936646804,3118.787857638888,3118.787857638888,3118.787857638888,3118.787857638888
2022-03-03,4004.8045647222216,0.0,10.6,19.16,0.0,0,0,0,0,0,0,1,0,0,0,2.1458333333333335,55.416666666666664,0.9583333333333334,0.9583333333333334,410.875,5.516666666666667,0.5712682150947923,0.8207634412072763,0.051619667223253764,0.998666816288476,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.8342773693026451,-0.2822292133914314,4484.16222625,3877.32917353395,3846.9875208981475,3825.01597933429
2022-03-04,2484.7639830555554,0.0,3.7,10.65,0.0,3,0,0,1,3,0,7,0,0,0,3.4499999999999997,58.708333333333336,4.375,3.2916666666666665,340.4166666666667,4.4125000000000005,0.7247927872291199,0.6889669190756867,0.06880242680231986,0.9976303053065857,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0813228972211587,-0.07187438094348438,4004.8045647222216,3929.573186316028,3906.752555245726,3889.124428957562
2022-03-05,0.0,0.0,10.5,20.259999999999998,0.0,0,0,0,0,0,0,1,0,0,0,4.258333333333334,40.208333333333336,0.041666666666666664,0.041666666666666664,171.70833333333334,4.666666666666667,0.8486442574947509,0.5289640103269624,0.08596479873744649,0.9962981749346079,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.9378688853985513,-0.005698298059399806,2484.7639830555554,3440.1391743714235,3477.2197240000814,3500.9094641840943
2022-03-06,0.0,0.0,10.8,21.0,0.0,2,0,0,0,0,0,0,0,0,0,2.7875,38.625,0.7083333333333334,0.0,0.0,4.25,0.9377521321470804,0.34730525284482033,0.10310169744743485,0.9946708199115211,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-0.9377587989400408,0.053003037474163406,0.0,2416.7755456317095,2584.87638777401,2700.9422258312106
2022-03-07,0.0,0.0,7.0,14.99,0.0,14,0,0,1,2,0,1,0,0,0,2.029166666666667,45.75,6.208333333333333,2.0416666666666665,0.0,3.7416666666666667,0.9884683243281115,0.1514277775045767,0.1202080448993527,0.9927487224577402,0.7071067811865475,0.7071067811865476,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.41658342716803526,0.0778356437435635,0.0,1761.6950026445388,1998.6884264287814,2169.7376867126936
2022-03-08,0.0,0.0,8.2,16.44,0.0,7,0,0,0,0,0,12,0,0,0,1.825,53.333333333333336,5.0,3.6666666666666665,99.125,7.0375000000000005,0.9987165071710528,-0.05064916883871264,0.13727877211326478,0.9905324521322229,0.7071067811865475,0.7071067811865476,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.42712585204847836,0.07883064223147294,0.0,1315.8569952212558,1587.3030021284299,1792.1024293606788
2022-03-09,0.0,0.0,8.7,18.85,0.0,2,0,0,0,0,0,4,4,0,0,1.9666666666666668,69.125,1.7083333333333333,1.25,834.5416666666666,8.591666666666667,0.9680771188662044,-0.25065253225872064,0.15430882066428114,0.9880226656636976,0.7071067811865475,0.7071067811865476,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.7084113602206111,-0.04354646384276267,0.0,999.6318145733082,1285.0245586153912,1510.4383146651114
2022-03-10,0.0,0.0,9.3,16.75,0.0,12,0,5,0,0,0,0,0,0,0,2.1041666666666665,52.166666666666664,7.083333333333333,0.0,516.625,8.995833333333334,0.8978045395707416,-0.4403941515576344,0.1712931441814776,0.9852201067560605,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.24748719253274618,0.12608585124904184,0.0,768.7119062078692,1055.3400491829204,1292.7451335062528
2022-03-11,0.0,0.0,5.9,14.49,0.0,8,0,0,1,0,0,10,0,0,0,1.7916666666666667,57.75,5.166666666666667,2.5833333333333335,234.875,10.841666666666667,0.7907757369376985,-0.6121059825476629,0.18822670984324422,0.9821256058680006,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.0426804547607286,0.3108409784604142,0.0,596.4758155523913,876.3291467335912,1119.8216708966359
2022-03-12,0.0,0.33333333333333337,3.2,12.82,0.0,5,0,1,0,3,0,13,1,0,0,2.6791666666666667,70.20833333333333,5.291666666666667,3.7083333333333335,556.5416666666666,12.108333333333334,0.6513724827222223,-0.7587581226927909,0.2051044998686192,0.9787400799669154,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.09687942994244476,0.015497626190173983,0.0,465.97031533420875,734.0326008133025,979.4480108661528
